Feature ID,Feature Name,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSRNOG00000037082,Mybphl,0.21761011094319457,0.0,0.0,167,0.024110839586475117,100
ENSRNOG00000034234,Mt-co1,0.21125083876857648,0.0,0.0,102682,19.79303086470788,4101
ENSRNOG00000065917,ENSRNOG00000065917,0.20925051563844296,0.0,0.0,85,0.01665356639062137,43
ENSRNOG00000011177,Sftpc,0.2061409798362351,0.0,0.0,395493,69.56972168467219,4103
ENSRNOG00000030700,Mt-co3,0.20508552571320807,0.0,0.0,120711,22.490190675764797,4099
ENSRNOG00000047931,ENSRNOG00000047931,0.19085219779237958,0.0,0.0,118719,20.678567648382355,4099
ENSRNOG00000005825,Lyz2,0.1876563607241329,0.0,0.0,214300,35.13650010037027,4102
ENSRNOG00000016243,Casq2,0.18738318711415938,0.0,0.0,104,0.011620639431944817,61
ENSRNOG00000030021,ENSRNOG00000030021,0.18627874748581433,0.0,0.0,5708,0.8995931635913562,1846
ENSRNOG00000018184,Tpm1,0.1861728966314703,0.0,0.0,3732,0.5804129071852221,1736
ENSRNOG00000031979,Mt-atp6,0.18528881346012452,0.0,0.0,86726,16.477348119431515,4100
ENSRNOG00000005023,Agr2,0.1849643275020883,0.0,0.0,609,0.04995580812848131,233
ENSRNOG00000020246,Myl9,0.17924772214841642,0.0,0.0,3770,0.5142679422569844,1480
ENSRNOG00000017628,Tagln,0.17673875810673917,0.0,0.0,3819,0.5930511200887123,1580
ENSRNOG00000039749,ENSRNOG00000039749,0.1766177579557931,0.0,0.0,651,0.06986914413060029,331
ENSRNOG00000029401,Actg2,0.17466549404945494,0.0,0.0,2476,0.37534839189683317,1137
ENSRNOG00000020875,Celf3,0.1709020632868336,0.0,0.0,5,0.00019604671178537688,3
ENSRNOG00000023320,Tspan1,0.17076623113488484,0.0,0.0,1292,0.14780468474397798,613
ENSRNOG00000018598,Ankrd1,0.16978768280722525,0.0,0.0,782,0.12512780034255866,466
ENSRNOG00000003095,Fgfbp1,0.16820248225784581,0.0,0.0,689,0.06467960646915304,288
ENSRNOG00000065935,Kng2l1,0.16571019507239218,0.0,0.0,910,0.10316249849424425,456
ENSRNOG00000059166,Ldb3,0.16422954082617067,0.0,0.0,150,0.01963490928161599,90
ENSRNOG00000011438,Sftpa1,0.16419402671132416,0.0,0.0,73476,12.19219832674061,4066
ENSRNOG00000018991,Gsn,0.15939103767068838,0.0,0.0,52464,7.861700294547327,3983
ENSRNOG00000034290,Ccl21,0.15810489553503862,0.0,0.0,2464,0.34526871829993705,938
ENSRNOG00000003515,Ephx1,0.15715507048891972,0.0,0.0,759,0.09029054786412506,433
ENSRNOG00000013532,Pgam2,0.15397839511241948,0.0,0.0,215,0.03408709623466927,129
ENSRNOG00000001285,Atp2a2,0.15302182620635071,0.0,0.0,1476,0.22831248845866647,843
ENSRNOG00000005269,Srl,0.14942574993711394,0.0,0.0,113,0.015829177016645265,75
ENSRNOG00000068626,ENSRNOG00000068626,0.1449352361445286,0.0,0.0,400,0.052439856531046034,226
ENSRNOG00000013908,Bpifa5,0.1388467510407766,0.0,0.0,477,0.04409557493211778,228
ENSRNOG00000027383,Sntn,0.13790868829948325,0.0,0.0,339,0.032440382558059734,199
ENSRNOG00000039086,Ccdc153,0.13658333447699386,0.0,0.0,595,0.0657106352544121,307
ENSRNOG00000016731,Tpm2,0.1348354928555787,0.0,0.0,2277,0.34794800340115517,1143
ENSRNOG00000057703,Cabp7,0.13287844036527002,0.0,0.0,6,0.00035669116340732355,3
ENSRNOG00000004294,Ascl1,0.13287844036527002,0.0,0.0,6,0.00035669116340732355,3
